Randomizer V3.1
Seed: 525693944
Excluded pickups: 5 19 28 
Chozo - - - Main Plaza (Half-Pipe) - - - - - - - - Missile Expansion 17 - - Warps to: Chozo Ruins | East Atrium
Chozo - - - Main Plaza (Grapple Ledge) - - - - - - Missile Expansion 34 - - Warps to: Chozo Ruins | East Furnace Access
Chozo - - - Main Plaza (Tree)  - - - - - - - - - - Gravity Suit - - - - - - Warps to: Phazon Mines | Save Station Mines C
Chozo - - - Main Plaza (Locked Door) - - - - - - - Ice Spreader - - - - - - Warps to: Chozo Ruins | Plaza Access
Chozo - - - Ruined Fountain  - - - - - - - - - - - Flamethrower - - - - - - Warps to: Phendrana Drifts | Courtyard Entryway
Chozo - - - Ruined Shrine ("Beetle Battle")  - - - Morph Ball
Chozo - - - Ruined Shrine (Half-Pipe)  - - - - - - Wavebuster - - - - - - - Warps to: Chozo Ruins | Training Chamber Access
Chozo - - - Ruined Shrine (Lower Tunnel) - - - - - Power Bomb Expansion 4 - Warps to: Phendrana Drifts | Save Station A
Chozo - - - Vault  - - - - - - - - - - - - - - - - Artifact of Wild - - - - Warps to: Phazon Mines | Missile Station Mines
Chozo - - - Training Chamber - - - - - - - - - - - Missile Expansion 36 - - Warps to: Phendrana Drifts | Quarantine Access
Chozo - - - Ruined Nursery - - - - - - - - - - - - Missile Expansion 13 - - Warps to: Phendrana Drifts | Ruins Entryway
Chozo - - - Training Chamber Access  - - - - - - - Missile Expansion 11 - - Warps to: Chozo Ruins | Training Chamber Access
Chozo - - - Magma Pool - - - - - - - - - - - - - - Energy Tank 7  - - - - - Warps to: Chozo Ruins | Furnace
Chozo - - - Tower of Light - - - - - - - - - - - - Missile Expansion 8  - - Warps to: Chozo Ruins | Ruins Entrance
Chozo - - - Tower Chamber  - - - - - - - - - - - - Missile Expansion 2  - - Warps to: Phendrana Drifts | Transport to Magmoor Caverns West
Chozo - - - Ruined Gallery (Missile Wall)  - - - - Energy Tank 2  - - - - - Warps to: Phendrana Drifts | Observatory Access
Chozo - - - Ruined Gallery (Tunnel)  - - - - - - - Missile Expansion 25 - - Warps to: Phendrana Drifts | Map Station
Chozo - - - Transport Access North - - - - - - - - Missile Expansion 30 - - Warps to: Chozo Ruins | Energy Core Access
Chozo - - - Gathering Hall - - - - - - - - - - - - Missile Expansion 37 - - Warps to: Phazon Mines | Metroid Quarantine A
Chozo - - - Hive Totem - - - - - - - - - - - - - - Missile Launcher
Chozo - - - Sunchamber (Flaahgra)  - - - - - - - - Missile Expansion 15 - - Warps to: Phendrana Drifts | Quarantine Monitor
Chozo - - - Sunchamber (Ghosts)  - - - - - - - - - Missile Expansion 9  - - Warps to: Phendrana Drifts | Save Station A
Chozo - - - Watery Hall Access - - - - - - - - - - Missile Expansion 5  - - Warps to: Phendrana Drifts | Quarantine Cave
Chozo - - - Watery Hall (Scan Puzzle)  - - - - - - Energy Tank 8  - - - - - Warps to: Phazon Mines | Save Station Mines A
Chozo - - - Watery Hall (Underwater) - - - - - - - Missile Expansion 28 - - Warps to: Phazon Mines | Ore Processing
Chozo - - - Dynamo (Lower) - - - - - - - - - - - - Missile Expansion 20 - - Warps to: Chozo Ruins | Arboretum Access
