Randomizer V3.1
Seed: 425085363
Excluded pickups: 5 19 28 
Chozo - - - Main Plaza (Half-Pipe) - - - - - - - - Missile Expansion 17 - - Warps to: Phazon Mines | Elite Research
Chozo - - - Main Plaza (Grapple Ledge) - - - - - - Missile Expansion 26 - - Warps to: Tallon Overworld | Savestation
Chozo - - - Main Plaza (Tree)  - - - - - - - - - - Energy Tank 13 - - - - - Warps to: Tallon Overworld | Transport Tunnel E
Chozo - - - Main Plaza (Locked Door) - - - - - - - X-Ray Visor  - - - - - - Warps to: Tallon Overworld | Gully
Chozo - - - Ruined Fountain  - - - - - - - - - - - Missile Expansion 1  - - Warps to: Phendrana Drifts | Courtyard Entryway
Chozo - - - Ruined Shrine ("Beetle Battle")  - - - Morph Ball
Chozo - - - Ruined Shrine (Half-Pipe)  - - - - - - Thermal Visor  - - - - - Warps to: Chozo Ruins | Dynamo
Chozo - - - Ruined Shrine (Lower Tunnel) - - - - - Ice Beam - - - - - - - - Warps to: Tallon Overworld | Life Grove Tunnel
Chozo - - - Vault  - - - - - - - - - - - - - - - - Artifact of Strength - - Warps to: Magmoor Caverns | Pit Tunnel
Chozo - - - Training Chamber - - - - - - - - - - - Missile Expansion 29 - - Warps to: Tallon Overworld | Great Tree Hall
Chozo - - - Ruined Nursery - - - - - - - - - - - - Missile Expansion 21 - - Warps to: Chozo Ruins | Sunchamber Lobby
Chozo - - - Training Chamber Access  - - - - - - - Varia Suit           - - Warps to: Tallon Overworld | Temple Hall
Chozo - - - Magma Pool - - - - - - - - - - - - - - Missile Expansion 42 - - Warps to: Phazon Mines | Research Access
Chozo - - - Tower of Light - - - - - - - - - - - - Energy Tank 4  - - - - - Warps to: Magmoor Caverns | South Core Tunnel
Chozo - - - Tower Chamber  - - - - - - - - - - - - Missile Expansion 14 - - Warps to: Phendrana Drifts | Shoreline Entrance
Chozo - - - Ruined Gallery (Missile Wall)  - - - - Energy Tank 10 - - - - - Warps to: Tallon Overworld | Deck Beta Conduit Hall
Chozo - - - Ruined Gallery (Tunnel)  - - - - - - - Missile Expansion 43 - - Warps to: Phendrana Drifts | Save Station A
Chozo - - - Transport Access North - - - - - - - - Missile Expansion 40 - - Warps to: Magmoor Caverns | Magmoor Workstation
Chozo - - - Gathering Hall - - - - - - - - - - - - Plasma Beam          - - Warps to: Tallon Overworld | Frigate Crash Site
Chozo - - - Hive Totem - - - - - - - - - - - - - - Missile Launcher
Chozo - - - Sunchamber (Flaahgra)  - - - - - - - - Energy Tank 1  - - - - - Warps to: Tallon Overworld | Great Tree Chamber
Chozo - - - Sunchamber (Ghosts)  - - - - - - - - - Missile Expansion 24 - - Warps to: Tallon Overworld | Tallon Canyon
Chozo - - - Watery Hall Access - - - - - - - - - - Energy Tank 5  - - - - - Warps to: Phazon Mines | Transport Access
Chozo - - - Watery Hall (Scan Puzzle)  - - - - - - Boost Ball - - - - - - - Warps to: Chozo Ruins | Training Chamber
Chozo - - - Watery Hall (Underwater) - - - - - - - Power Bomb Expansion 3 - Warps to: Phendrana Drifts | Save Station A
Chozo - - - Dynamo (Lower) - - - - - - - - - - - - Wave Beam  - - - - - - - Warps to: Tallon Overworld | Root Cave
Chozo - - - Dynamo (Spider Track)  - - - - - - - - Missile Expansion 31 - - Warps to: Tallon Overworld | Temple Security Station
Chozo - - - Burn Dome (Missile)  - - - - - - - - - Space Jump Boots - - - - Warps to: Tallon Overworld | Transport Tunnel A
